#
# Calibration parameters for the CsI valid for Z=2
#
SignalIn:                               Q3.FPGAEnergy
SignalOut:                              Energy
CalibType:                              ChannelEnergyQ3
CalibClass:                             LightEnergyCsI
ZRange:                                 2
CSI-11: 				4.990224,0.510017,0.903393,0.863398
CSI-21: 				5.104444,0.381886,0.000000,0.555526
CSI-23: 				4.548264,0.156327,10.004745,0.011357
CSI-33: 				4.735130,0.576830,0.000000,0.911608
CSI-42: 				4.823976,0.369508,0.000000,0.556951
CSI-43: 				4.585691,0.586401,0.000000,0.837988
CSI-44: 				3.212697,0.953981,0.000000,1.000000
CSI-111: 				4.881538,0.359074,0.000000,0.487565
CSI-112: 				4.873496,0.513591,0.000000,0.767160
CSI-114: 				5.236445,0.376772,0.000004,0.516072
CSI-121: 				5.257817,0.275960,4.319617,0.663919
CSI-123: 				4.800035,0.339583,0.000000,0.568483
CSI-124: 				5.070656,0.385501,0.000000,0.536335
CSI-133: 				5.216829,0.252840,0.000000,0.168111
CSI-141: 				5.014000,0.184735,8.728457,0.000000
CSI-144: 				5.195492,0.277261,0.000000,0.270011
CSI-211: 				4.802601,0.174251,10.009993,0.000000
CSI-212: 				4.557795,0.181069,10.009214,0.000000
CSI-213: 				5.407788,0.221343,2.215780,0.000000
CSI-214: 				4.549339,0.191113,10.009590,0.000000
CSI-222: 				3.184683,0.972692,0.000000,1.000000
CSI-223: 				4.986757,0.194103,9.935315,0.000000
CSI-231: 				4.515446,0.193673,10.010000,0.859404
CSI-233: 				4.188134,0.157255,10.006884,0.000000
CSI-234: 				4.744658,0.499607,0.000004,0.751753
CSI-242: 				5.029876,0.212655,9.914429,0.000000
CSI-243: 				4.406968,0.180197,10.009232,0.000000
CSI-244: 				4.406014,0.171017,9.995561,0.000000
CSI-312: 				5.070934,0.204301,8.266919,0.000000
CSI-313: 				3.625942,0.955801,0.399483,1.000000
CSI-321: 				5.250611,0.459369,0.000000,0.651320
CSI-322: 				3.301560,1.187179,0.059891,1.000000
CSI-323: 				4.626198,0.503430,0.000000,0.645112
CSI-324: 				5.351629,0.352894,0.000000,0.526076
CSI-331: 				5.320132,0.364701,0.000000,0.472461
CSI-332: 				5.132247,0.443447,0.000000,0.647412
CSI-334: 				5.428920,0.323821,0.000000,0.470231
CSI-341: 				4.995844,0.282633,0.000000,0.449914
CSI-344: 				4.915194,0.246757,0.000000,0.367603
